input_snr_db,seed,blocks,best_epoch,best_val_loss,mean_val_snr,median_val_snr,min_val_snr,max_val_snr,la_normal_mean_snr,jian_normal_mean_snr,la_truck_mean_snr,jian_truck_mean_snr,model_path,history_path,train_samples,val_samples,training_time_seconds,training_time_minutes,training_time_hours,training_time_hms
5,42,7,64,0.002765194745734334,9.219626794287509,9.190809158571845,1.7009706269809588,16.81333484212415,9.450889301124207,8.656033299151005,9.728948822194813,8.691310388316024,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed42.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed42.txt,56518,6280,1043.4201967716217,17.390336612860363,0.2898389435476727,00:17:23
5,66,7,61,0.003344474360346794,9.277163879528635,9.204189232610243,1.8484447278604255,19.06996019937241,9.40932974455516,8.774573954073235,9.80785132920726,8.802449981648076,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed66.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed66.txt,56518,6280,1048.3893349170685,17.47315558195114,0.29121925969918566,00:17:28
5,88,7,72,0.0027924079913645983,9.547629428751646,9.482467652916728,2.586322704699163,17.45652663433125,9.679574440438886,9.136930146294096,9.99584317702005,9.102948853150082,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed88.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed88.txt,56518,6280,1044.062705039978,17.401045083999634,0.29001741806666054,00:17:24
5,100,7,64,0.0014232182875275612,9.36563213341277,9.275470410340295,2.1961181343625573,18.404091218382234,9.595988728252676,8.666597591180231,9.9533930528941,8.858442980377358,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed100.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed100.txt,56518,6280,1052.6473171710968,17.544121952851615,0.2924020325475269,00:17:32
5,123,7,76,0.0017468261066824198,9.468040637895001,9.361544220558654,2.769924704039976,18.46952503123073,9.887318492789646,9.027296051303445,9.917761130406097,8.627543374213786,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed123.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed123.txt,56518,6280,1049.7926490306854,17.496544150511422,0.2916090691751904,00:17:29
5,256,7,65,0.002443815115839243,9.174409133101124,9.11235797046097,2.625239454746715,17.19239346566889,9.524338993662441,8.449775485344421,9.832015163053677,8.413542661747142,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed256.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed256.txt,56518,6280,1054.931477546692,17.582191292444865,0.2930365215407478,00:17:34
5,512,7,57,0.0027955863624811172,9.306503289891726,9.216908205692146,1.5493406793586955,17.368132368162538,9.557479986635517,8.69134182858301,9.828589395786876,8.781869239981017,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed512.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed512.txt,56518,6280,1045.9418861865997,17.43236476977666,0.29053941282961104,00:17:25
5,2024,7,70,0.0014185498002916574,9.258616511855116,9.198364828876251,0.22986215815731215,18.55070013930129,9.564796477830985,8.952623388476326,9.683376832011687,8.48691911092044,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed2024.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed2024.txt,56518,6280,1057.06067943573,17.6176779905955,0.293627966509925,00:17:37
10,7,7,91,0.00173851172439754,13.078912368630329,13.058056616784919,1.8613553213091385,21.033051643213305,13.400580068544166,12.699536378606053,13.472347848878256,12.403947893656445,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed7.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed7.txt,56518,6280,1051.1433882713318,17.519056471188865,0.2919842745198144,00:17:31
10,19,7,92,0.0011893522460013628,12.726548321115855,12.730113721898496,4.356538565378683,21.639367979019877,13.581897327420936,12.649909233550426,12.893498973795086,11.295919747562568,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed19.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed19.txt,56518,6280,1049.16050863266,17.486008477210998,0.2914334746201833,00:17:29
10,42,7,86,0.0011444436386227608,12.325200726426413,12.422247871982304,1.434425860569328,20.976098300698144,12.944408875480523,11.404760369758398,13.1296226542137,11.14665615498548,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed42.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed42.txt,56518,6280,1050.3050420284271,17.50508403380712,0.291751400563452,00:17:30
10,66,7,88,0.0013942992081865668,13.086566064707025,13.012534295896426,3.5324060348969484,21.779930531215378,13.628534203716669,12.764630204688375,13.481393873834476,12.027300018528267,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed66.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed66.txt,56518,6280,1051.8614492416382,17.531024154027303,0.29218373590045504,00:17:31
10,88,7,82,0.0011911644833162427,12.591680851440408,12.57780931328735,3.244165200756437,20.958740945341177,13.385900109393813,12.090969260872631,13.08185020548349,11.198703637401863,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed88.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed88.txt,56518,6280,1043.9266948699951,17.398778247833253,0.28997963746388755,00:17:23
10,100,7,96,0.000620594306383282,12.89287023804087,12.84073137411333,6.701343492590062,21.229979040094666,13.312672530782594,13.008626795343337,13.160667772893387,11.763323864009623,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed100.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed100.txt,56518,6280,1053.9646434783936,17.56607739130656,0.292767956521776,00:17:33
10,123,7,72,0.0007919150521047413,12.053371681825105,12.10122511614887,5.5216185634689,20.411033544936878,12.67241406957824,11.00533586803331,12.898207641030476,10.943080949392035,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_10dB_seed123.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_10dB_seed123.txt,56518,6280,1053.5738911628723,17.559564852714537,0.292659414211909,00:17:33
