input_snr_db,condition,clean_name,noise_type,metric,model_count,input_mean,input_std_models,output_mean,output_std_models,output_median,output_min,output_max
0,jian_truck,jian,truck,correlation,10,0.710311584382582,0.0,0.831759743244457,0.011865977530210311,0.8336669536992782,0.8096687266386986,0.8481178705779244
0,jian_truck,jian,truck,nrmse,10,1.0000000133985656,0.0,0.588020379830882,0.04798216768626153,0.5802178744774837,0.5332259444206469,0.6754806156979585
0,jian_truck,jian,truck,spectral_distortion_db,10,17.66334506288631,3.744889033148481e-15,8.479391818250342,0.4251818947426288,8.44661292035245,7.980561775056762,9.146104588997254
5,la_normal,la,normal,snr,10,4.9999997949182475,0.0,8.658535014383993,0.37854952184066626,8.639134619785727,8.134482953033828,9.288182152809638
5,la_normal,la,normal,correlation,10,0.8723300529584781,1.1702778228589004e-16,0.9246446483408353,0.007843846357083573,0.9245720414460883,0.911743464276976,0.9361257240702163
5,la_normal,la,normal,nrmse,10,0.5623413377860478,1.1702778228589004e-16,0.3771251140765257,0.017301740546988863,0.37713577506730467,0.34937139140188783,0.4029931994098758
5,la_normal,la,normal,spectral_distortion_db,10,19.27079982824963,3.744889033148481e-15,7.4106150317342685,0.15661332931101024,7.413544416683877,7.180930096508121,7.622918826956199
5,la_truck,la,truck,snr,10,4.999999909810923,0.0,8.55175699826882,0.21263856372734333,8.521662870052364,8.277712308741085,8.90174645598637
5,la_truck,la,truck,correlation,10,0.8744467654922887,0.0,0.9174126443603443,0.005342111870267765,0.9183978244316181,0.9096959541338061,0.926179277166008
5,la_truck,la,truck,nrmse,10,0.562341330347673,1.1702778228589004e-16,0.38698997597335355,0.01071369799246691,0.3867150862387273,0.3689016246260673,0.40143076195797006
5,la_truck,la,truck,spectral_distortion_db,10,16.542252754311654,0.0,7.12601728521304,0.12094934784815194,7.128907706908711,6.965879102417447,7.301422930786832
5,jian_normal,jian,normal,snr,10,4.9999996635698265,9.362222582871203e-16,8.163218962410289,0.3088617614360697,8.151851128420926,7.687306302684355,8.545971918524042
5,jian_normal,jian,normal,correlation,10,0.8721353611615228,0.0,0.9197575045058132,0.006844984368121537,0.9197460293515582,0.9087888338329391,0.9289945373477995
5,jian_normal,jian,normal,nrmse,10,0.5623413365221885,0.0,0.39777484673856545,0.014148485193003534,0.39778062227299893,0.38140709464094863,0.4197089139218405
5,jian_normal,jian,normal,spectral_distortion_db,10,16.137300671049186,0.0,7.984268922485393,0.3242221513787712,8.07684257084742,7.510249144240023,8.459260866897196
5,jian_truck,jian,truck,snr,10,4.999999768335825,0.0,8.02287029943965,0.23617375354397266,7.971175704468818,7.6087246707628235,8.440065841831483
5,jian_truck,jian,truck,correlation,10,0.8745318700099904,0.0,0.9149480567622771,0.003782033710336235,0.914013347094942,0.9102160613673793,0.9212970756934563
5,jian_truck,jian,truck,nrmse,10,0.5623413297394343,1.1702778228589004e-16,0.404190676320541,0.010964987936173254,0.4058775109647505,0.38511979855811346,0.4244293757040578
5,jian_truck,jian,truck,spectral_distortion_db,10,13.701879142279973,1.8724445165742407e-15,8.002854190742438,0.42210173935734474,8.126207334447098,7.394480257793885,8.605082658060146
10,la_normal,la,normal,snr,10,9.999999713532628,1.8724445165742407e-15,12.432368771058915,0.2856833339214835,12.478157963607853,12.041125705326339,12.912455694014144
10,la_normal,la,normal,correlation,10,0.9538942723028538,0.0,0.9709377800721779,0.0014015075365635097,0.9707445581690459,0.9689510313324575,0.9734862820864479
10,la_normal,la,normal,nrmse,10,0.3162277748798624,5.851389114294502e-17,0.24215375182128662,0.007722533087481023,0.24124261181829448,0.22889918166431691,0.2522211983278609
