input_snr_db,noise_type,method,denoise_model_seed,denoise_model_mean_val_snr,classifier_seed,accuracy,jian_accuracy,la_accuracy,precision,recall,f1_score,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,mean_input_snr,mean_output_snr,denoise_model_path,classifier_model_path
0,truck,denoised_then_classified,7,6.459885107599179,100,0.9099158337716992,0.970682302771855,0.8507268951194185,0.9675228816061411,0.8507268951194185,0.9053736703964635,0.9107045989456367,3642,110,575,3277,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5
0,truck,denoised_then_classified,7,6.459885107599179,123,0.9007101525512888,0.9712153518123667,0.8320353063343717,0.9674011469966798,0.8320353063343717,0.8946266573621773,0.9016253290733692,3644,108,647,3205,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5
0,truck,denoised_then_classified,7,6.459885107599179,256,0.8978169384534456,0.9637526652452025,0.8335929387331257,0.9593665969524948,0.8335929387331257,0.8920683428253924,0.8986728019891641,3616,136,641,3211,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed256.h5
0,truck,denoised_then_classified,7,6.459885107599179,512,0.9054445028932141,0.9720149253731343,0.8406022845275182,0.968591085851032,0.8406022845275182,0.9000694927032662,0.9063086049503262,3647,105,614,3238,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed512.h5
0,truck,denoised_then_classified,7,6.459885107599179,2024,0.9076801683324566,0.9672174840085288,0.8496884735202492,0.9637809187279152,0.8496884735202492,0.9031456953642384,0.908452978764389,3629,123,579,3273,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed2024.h5
0,truck,noisy_directly_classified,7,6.459885107599179,7,0.8556023145712782,0.7515991471215352,0.9569055036344756,0.7981810307492421,0.9569055036344756,0.8703659976387249,0.8542523253780054,2820,932,166,3686,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed7.h5
0,truck,noisy_directly_classified,7,6.459885107599179,19,0.8558653340347185,0.747867803837953,0.9610591900311527,0.7964716006884681,0.9610591900311527,0.8710588235294118,0.8544634969345528,2806,946,150,3702,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed19.h5
0,truck,noisy_directly_classified,7,6.459885107599179,42,0.8612572330352446,0.7705223880597015,0.9496365524402908,0.8094711219296304,0.9496365524402908,0.8739696571496834,0.8600794702499961,2891,861,194,3658,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5
0,truck,noisy_directly_classified,7,6.459885107599179,66,0.8686217780115728,0.7582622601279317,0.9761163032191069,0.8056567388043712,0.9761163032191069,0.8827327151074069,0.8671892816735194,2845,907,92,3760,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5
0,truck,noisy_directly_classified,7,6.459885107599179,88,0.8787480273540242,0.7849147121535182,0.9701453790238836,0.8224031690140845,0.9701453790238836,0.8901858027632206,0.877530045588701,2945,807,115,3737,-2.938530493669821e-09,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5
