input_snr_db,noise_type,classifier_seed,method,accuracy,threshold,denoise_model_seed
15,normal,100,wavelet,0.9773454157782516,0.5,512
15,normal,100,proposed,0.9753464818763327,0.5,512
15,truck,100,non_denoised,0.9753464818763327,0.5,512
15,truck,100,wavelet,0.9736140724946695,0.5,512
15,truck,100,proposed,0.9742803837953091,0.5,512
15,normal,256,non_denoised,0.9732142857142857,0.5,512
15,normal,256,wavelet,0.9702825159914712,0.5,512
15,normal,256,proposed,0.9698827292110874,0.5,512
15,truck,256,non_denoised,0.9749466950959488,0.5,512
15,truck,256,wavelet,0.9730810234541578,0.5,512
15,truck,256,proposed,0.9733475479744137,0.5,512
15,normal,512,non_denoised,0.9737473347547975,0.5,512
15,normal,512,wavelet,0.9717484008528785,0.5,512
15,normal,512,proposed,0.9693496801705757,0.5,512
15,truck,512,non_denoised,0.9736140724946695,0.5,512
15,truck,512,wavelet,0.9714818763326226,0.5,512
15,truck,512,proposed,0.9710820895522388,0.5,512
